,Country1,Occupation,Birth year,lifespan
72,Israel,politician,1895,74
73,United States,artist,1884,54
74,Russian Federation,athlete,1979,24
75,Argentina,artist,1923,67
76,Ukraine,athlete,1949,51
77,United States,artist,1923,48
78,Italy,presbyter,1891,64
79,United Kingdom,farmer,1940,56
79,United Kingdom,socialite,1940,56
80,Germany,midwife,1853,52
80,Germany,serial killer,1853,52
81,United Kingdom,artist,1902,81
82,Netherlands,artist,1954,61
83,United States,politician,1815,50
84,United Kingdom,athlete,1929,81
85,Australia,athlete,1993,20
86,Puerto Rico,artist,1940,55
87,Italy,artist,1921,68
88,Australia,businessperson,1949,56
89,United States,politician,1943,66
90,Portugal,artist,1936,71
91,France,politician,1550,38
92,United States,artist,1939,68
93,United States,artist,1924,82
94,Ireland,athlete,1956,57
95,Iraq,religious figure,1942,66
96,United States,artist,1958,27
97,United States,journalist,1916,56
98,France,artist,1906,64
99,Russian Federation,artist,1938,75
100,United States,artist,1877,58
101,United States,military personnel,1917,75
102,United States,ichthyologist,1914,59
103,United States,politician,1944,62
104,United States,teacher,1935,84
105,Malaysia,politician,1948,59
106,United States,military personnel,1917,93
107,Canada,journalist,1942,72
108,United States,artist,1896,85
109,United States,business executive,1922,92
110,United States,religious figure,1940,74
111,United States,politician,1932,82
112,United States,scenographer,1905,85
113,New Zealand,athlete,1949,60
114,Hungary,aristocrat,1875,20
115,United States,journalist,1929,80
116,Australia,artist,1929,72
117,United Kingdom,politician,1797,71
118,United States,artist,1939,76
119,Greece,artist,1934,79
120,France,artist,1934,79
121,United States,jockey,1959,59
122,United Kingdom,researcher,1955,61
123,France,researcher,1725,68
124,Canada,athlete,1933,52
125,Lithuania,politician,1862,70
126,France,artist,1962,47
127,Japan,artist,1926,86
128,France,artist,1925,92
129,Japan,researcher,1879,79
130,Ireland,artist,1884,71
131,France,artist,1510,34
132,United States,researcher,1829,50
133,Norway,researcher,1914,88
134,United Kingdom,artist,1944,65
135,Cuba,politician,1930,77
136,Austria,military personnel,1918,25
137,Canada,politician,1935,74
138,United States,artist,1935,77
139,United States,researcher,1933,81
140,United Kingdom,researcher,1924,89
141,Hungary,researcher,1924,89
142,United States,researcher,1785,61
143,United States,politician,1934,84
144,United States,rapper,1968,34
145,United States,artist,1958,48
146,United States,athlete,1866,34
147,United States,athlete,1969,36
148,United States,artist,1909,42
149,United States,artist,1964,41
150,France,religious figure,1799,39
151,South Africa,athlete,1970,42
152,Germany,athlete,1943,53
153,Italy,artist,1941,54
154,Czech Republic,artist,1939,80
155,France,politician,1739,59
156,India,artist,1933,81
157,United States,athlete,1996,22
158,France,engineer,1923,48
159,Netherlands,researcher,1880,53
160,Austria,researcher,1880,53
161,United States,artist,1964,32
162,United States,artist,1920,65
163,United Kingdom,politician,1787,63
164,United States,politician,1869,73
165,United States,researcher,1783,57
166,United States,businessperson,1854,68
167,Canada,artist,1909,67
168,Philippines,politician,1918,91
169,France,politician,1929,78
170,United Kingdom,artist,1918,60
171,Ethiopia,politician,1912,62
172,United States,artist,1924,83
173,Russian Federation,artist,1933,84
174,China,politician,1934,85
175,China,politician,1934,85
176,United States,athlete,1863,64
177,United Kingdom,artist,1938,65
178,Mexico,professional wrestler,1942,75
179,France,athlete,1989,26
180,Turkey,military personnel,1926,65
181,Japan,athlete,1932,77
182,Italy,journalist,1944,66
183,Germany,athlete,1928,76
184,United States,athlete,1930,86
185,Spain,researcher,1914,19
186,United States,athlete,1931,84
187,United States,guitarist,1906,56
188,Germany,politician,1929,61
189,Canada,politician,1785,70
190,United Kingdom,athlete,1933,65
191,United States,artist,1890,41
192,Canada,politician,1923,87
193,United States,politician,1938,74
194,Italy,presbyter,1924,40
195,United States,politician,1843,66
196,United States,military personnel,1785,68
197,Croatia,artist,1939,72
198,United States,athlete,1938,71
199,Uruguay,artist,1926,38
200,United States,artist,1914,88
201,United States,athlete,1952,61
202,France,artist,1930,51
203,Japan,athlete,1942,36
204,Norway,artist,1937,73
205,United States,artist,1945,59
206,Netherlands,military personnel,1923,57
207,United States,athlete,1951,45
208,Germany,religious figure,1180,53
209,Sri Lanka,politician,1941,77
210,United Kingdom,philosopher,1913,87
211,Japan,artist,1884,50
212,United States,athlete,1940,25
213,Czech Republic,athlete,1953,64
214,United States,politician,1721,72
215,United Kingdom,artist,1945,73
216,United States,artist,1962,50
217,United States,artist,1970,41
218,United Kingdom,artist,1970,41
219,United Kingdom,athlete,1914,71
220,United States,explorer,1784,48
221,United Kingdom,artist,1894,67
222,Italy,researcher,1906,63
223,United States,graphic designer,1925,45
224,Czech Republic,artist,1886,32
225,Russian Federation,journalist,1965,46
226,United States,architect,1774,59
227,Canada,artist,1957,51
228,United States,athlete,1985,24
229,Germany,resistance fighter,1921,22
229,Germany,interpreter,1921,22
230,France,researcher,1772,57
231,United States,artist,1929,39
232,United States,teacher,1920,85
233,United States,artist,1924,79
234,United States,professional wrestler,1959,44
235,United States,artist,1910,69
236,Poland,researcher,1906,86
237,Germany,artist,1934,50
238,United States,politician,1860,61
239,United States,teacher,1886,87
240,South Africa,researcher,1883,65
241,United States,artist,1893,64
242,United States,artist,1891,88
243,United States,construction worker,1968,32
244,Japan,artist,1896,40
245,United States,artist,1919,81
246,Iraq,military personnel,1947,56
247,France,athlete,1937,75
248,Italy,researcher,1922,53
249,United States,teacher,1914,56
250,Hungary,artist,1890,56
251,United States,artist,1871,54
252,Mexico,artist,1940,64
253,United States,teacher,1941,72
254,Japan,athlete,1942,66
255,United Kingdom,artist,1919,46
256,United States,artist,1947,67
257,United Kingdom,athlete,1940,36
258,United States,artist,1901,60
259,"Iran, Islamic Republic of",politician,1923,42
260,United States,artist,1923,47
261,Netherlands,artist,1946,60
262,France,artist,1939,39
263,Egypt,artist,1939,39
264,United States,business magnate,1858,89
265,United States,artist,1919,64
266,United Kingdom,artist,1919,64
267,Spain,teacher,1942,35
268,Cuba,radio personality,1929,81
269,France,artist,1940,54
270,United States,military personnel,1878,78
271,United States,researcher,1896,61
272,Australia,artist,1958,48
273,Venezuela,artist,1929,59
274,Ukraine,athlete,1985,33
275,United States,drummer,1983,26
276,United States,athlete,1944,59
277,Japan,artist,1891,70
278,United States,athlete,1905,39
279,United States,artist,1890,75
280,United States,artist,1933,37
281,Poland,artist,1841,30
282,United States,artist,1922,90
283,France,artist,1851,74
284,Canada,athlete,1881,40
285,Argentina,artist,1934,82
286,New Zealand,researcher,1943,71
287,Turkey,military personnel,1950,43
288,United States,artist,1938,67
289,Australia,athlete,1931,87
290,United Kingdom,researcher,1931,74
291,France,military personnel,1897,75
292,United States,artist,1912,89
293,Germany,artist,1890,79
294,Austria,artist,1890,79
295,Germany,nurse,1923,22
295,Germany,torturer,1923,22
295,Germany,concentration camp guard,1923,22
296,United States,politician,1844,55
297,Germany,politician,1886,59
298,United States,politician,1921,86
299,Philippines,artist,1999,16
300,Argentina,artist,1949,50
301,United Kingdom,artist,1941,54
302,United States,artist,1951,53
303,United States,artist,1812,34
304,United Kingdom,researcher,1925,81
305,France,teacher,1578,32
306,United States,artist,1921,65
307,Australia,politician,1900,80
308,Brazil,engineer,1889,54
309,United States,politician,1945,63
310,Kenya,politician,1968,40
311,United States,politician,1943,66
312,United Kingdom,artist,1944,60
313,Spain,religious figure,1500,49
314,Serbia,politician,1956,51
315,Bosnia and Herzegovina,politician,1956,51
316,United States,artist,1984,22
317,United States,teacher,1906,47
318,United States,journalist,1850,46
319,United Kingdom,artist,1957,42
320,France,researcher,1946,59
321,Czech Republic,artist,1909,36
322,Japan,athlete,1969,42
323,France,artist,1953,65
324,United Kingdom,artist,1967,27
325,New Zealand,biologist,1930,82
325,New Zealand,academic,1930,82
326,United States,artist,1935,73
327,Argentina,artist,1959,47
328,United States,journalist,1921,53
329,New Zealand,athlete,1988,21
330,United States,researcher,1937,65
331,United States,military personnel,1854,53
332,United States,artist,1934,69
333,United States,capo dei capi,1897,65
333,United States,criminal,1897,65
334,Italy,capo dei capi,1897,65
334,Italy,criminal,1897,65
335,Russian Federation,artist,1978,29
336,Russian Federation,artist,1918,83
337,Canada,politician,1856,71
338,Germany,researcher,1818,83
339,Germany,politician,1872,58
340,Peru,politician,1826,75
341,Nepal,politician,1939,77
342,India,politician,1888,60
343,United States,artist,1926,76
344,United States,politician,1929,70
345,United States,designer,1924,89
346,United States,athlete,1956,36
347,Japan,athlete,1977,34
348,United States,athlete,1921,97
349,United Kingdom,guitarist,1947,34
350,United States,cinematographer,1896,74
351,Turkey,athlete,1960,25
352,Serbia,artist,1895,41
353,United States,athlete,1938,47
354,United States,politician,1823,43
355,Ukraine,athlete,1992,22
356,Spain,politician,1930,62
357,Belgium,teacher,1881,63
358,United States,military personnel,1930,69
359,United States,artist,1897,58
360,Syrian Arab Republic,politician,1964,38
361,United Kingdom,researcher,1935,72
362,Greece,artist,1948,63
363,Poland,artist,1953,59
364,United Kingdom,artist,1941,48
365,United States,artist,1921,95
366,United States,politician,1943,73
367,Mexico,artist,1914,78
368,Syrian Arab Republic,politician,1926,67
369,United States,philanthropist,1820,74
369,United States,philanthropist,1820,74
370,Nigeria,artist,1941,54
371,Norway,artist,1918,72
372,United States,politician,1920,97
373,United States,artist,1920,34
374,United Kingdom,barrister,1929,72
375,Italy,artist,1936,63
376,United States,politician,1822,72
377,United Kingdom,artist,1908,32
378,United States,politician,1790,63
379,Canada,businessperson,1928,76
380,United Kingdom,talent manager,1940,55
380,United Kingdom,talent agent,1940,55
380,United Kingdom,manager,1940,55
381,Germany,politician,1909,39
382,United Kingdom,artist,1922,63
383,United States,politician,1905,65
384,Uruguay,politician,1924,52
385,El Salvador,researcher,1959,52
386,United States,military personnel,1874,43
387,Canada,artist,1950,60
388,Paraguay,politician,1871,48
389,Germany,artist,1813,24
390,Italy,artist,1921,74
391,Germany,politician,1883,62
392,Spain,choreographer,1917,91
392,Spain,dancer,1917,91
393,Peru,christians jehovah’s witnesses,1586,31
394,France,artist,1868,75
395,Austria,athlete,1874,44
396,United States,artist,1928,78
397,Belgium,artist,1957,58
398,Germany,artist,1871,78
399,Japan,military personnel,1890,59
400,Austria,artist,1946,65
401,United States,artist,1921,85
402,United States,politician,1916,71
403,France,athlete,1962,49
404,United Kingdom,artist,1936,74
405,France,dermatologist,1904,83
405,France,professeur des universités – praticien hospitalier,1904,83
406,France,journalist,1935,83
407,United States,artist,1927,47
408,Japan,artist,1938,57
409,Germany,politician,1848,30
410,United Kingdom,artist,1914,85
411,United Kingdom,artist,1954,65
412,United States,film producer,1913,76
413,United States,athlete,1933,53
414,United States,artist,1899,55
415,United States,artist,1920,51
416,Netherlands,athlete,1910,22
417,United States,psychologist,1944,70
418,United States,artist,1900,91
419,United States,artist,1957,57
420,United Kingdom,politician,1932,87
421,United States,politician,1934,66
422,Canada,professional wrestler,1944,47
423,France,artist,1754,71
424,United States,politician,1765,86
425,United States,artist,1908,48
426,United States,businessperson,1831,57
427,Poland,artist,1920,93
428,Germany,artist,1920,93
429,United Kingdom,athlete,1919,62
430,United States,puppeteer,1934,79
431,Philippines,artist,1897,35
432,United States,businessperson,1941,62
433,Saudi Arabia,terrorist,1975,26
433,Saudi Arabia,jihadist,1975,26
434,France,journalist,1972,43
435,Turkey,artist,1950,59
436,Canada,journalist,1936,62
437,United States,artist,1927,80
438,United Kingdom,politician,1949,67
439,United States,artist,1913,75
440,France,artist,1913,75
441,United States,artist,1909,91
442,Spain,nun,1750,31
443,Germany,artist,1901,64
444,France,artist,1746,59
445,Sweden,artist,1953,65
446,United States,religious figure,1808,39
447,United States,artist,1930,78
448,United States,animator,1922,53
448,United States,animation director,1922,53
449,Spain,artist,1949,66
450,United States,radio personality,1943,75
451,Estonia,athlete,1920,55
452,United States,researcher,1927,87
453,United Kingdom,monk,1926,56
454,United States,artist,1899,86
455,France,businessperson,1929,87
456,United States,artist,1940,68
457,Germany,politician,1739,28
458,United States,artist,1923,80
459,United States,researcher,1928,78
460,France,artist,1938,72
461,United States,artist,1949,35
462,United States,nurse,1921,79
462,United States,dietitian,1921,79
463,United States,journalist,1933,69
464,Romania,artist,1869,43
465,Japan,journalist,1935,73
466,France,athlete,1938,56
467,Germany,professional wrestler,1930,85
467,Germany,bodybuilder,1930,85
468,United Kingdom,racing automobile driver,1923,36
468,United Kingdom,formula one driver,1923,36
469,Brazil,politician,1928,83
470,Japan,politician,1934,80
471,Netherlands,artist,1969,42
472,France,religious figure,1500,28
473,Italy,cinematographer,1923,82
473,Italy,camera operator,1923,82
474,United States,orientalist,1940,68
475,United States,athlete,1876,65
476,France,choreographer,1951,41
476,France,dancer,1951,41
477,Italy,athlete,1953,36
478,United States,artist,1924,86
479,United States,politician,1927,68
480,United States,politician,1931,76
481,United States,athlete,1933,50
482,Austria,artist,1897,79
483,United States,artist,1893,66
484,United States,architect,1842,51
485,Russian Federation,artist,1939,56
486,Papua New Guinea,politician,1966,47
487,United States,journalist,1926,85
488,Brazil,artist,1942,66
489,Estonia,artist,1898,56
490,United States,artist,1914,51
491,United States,preacher,1930,77
492,Spain,politician,1872,64
493,France,artist,1930,54
494,Colombia,artist,1920,92
495,Switzerland,politician,1828,52
496,Sweden,politician,1491,58
497,United Kingdom,radio personality,1964,49
498,United States,artist,1934,70
499,United States,military personnel,1898,77
500,Ukraine,researcher,1953,65
501,United States,artist,1865,73
502,Austria,artist,1939,54
503,United States,artist,1946,60
504,China,artist,1969,26
505,United States,businessperson,1965,50
506,United States,researcher,1854,64
507,United States,artist,1965,25
508,United Kingdom,artist,1925,79
509,United States,artist,1886,61
510,United States,businessperson,1916,69
511,United States,athlete,1945,59
512,France,politician,1905,74
513,United States,artist,1889,65
514,Japan,artist,1904,72
515,United States,politician,1948,61
516,United States,politician,1825,72
517,United States,artist,1936,71
518,United States,artist,1921,84
519,Syrian Arab Republic,politician,1898,52
520,United Kingdom,journalist,1947,46
521,United States,politician,1884,53
522,Iraq,politician,1939,64
523,Italy,athlete,1945,59
524,India,artist,1940,78
525,Czech Republic,teacher,1927,90
526,United Kingdom,artist,1961,50
527,Hungary,athlete,1976,29
528,United States,gangster,1919,79
528,United States,drug trafficker,1919,79
529,India,artist,1937,66
530,Australia,athlete,1984,34
531,"Iran, Islamic Republic of",politician,1937,76
532,Germany,artist,1878,65
533,United States,artist,1944,61
534,United States,politician,1900,65
535,United States,artist,1936,74
536,United States,politician,1918,85
537,United Kingdom,artist,1890,62
538,United States,religious leader,1959,34
539,Japan,samurai,1546,69
540,Germany,researcher,1869,70
541,United States,artist,1929,38
542,United Kingdom,military personnel,1867,66
543,Romania,artist,1884,79
544,United States,artist,1821,65
545,United States,artist,1894,42
546,Poland,researcher,1941,78
547,United States,judge,1929,73
548,Spain,artist,1935,61
549,United States,chef,1968,45
550,Venezuela,military personnel,1950,65
551,Canada,artist,1937,60
552,United States,artist,1963,45
553,United States,politician,1923,73
554,Spain,artist,1912,63
555,United States,artist,1937,72
556,United States,artist,1945,58
557,United States,military personnel,1768,83
558,United States,politician,1758,72
559,United States,athlete,1903,50
560,Chile,artist,1923,91
561,Poland,motorcycle racer,1946,46
562,New Zealand,artist,1926,46
563,Mexico,politician,1911,68
564,United Kingdom,artist,1923,82
565,Sweden,athlete,1942,35
566,Poland,politician,1951,59
567,United States,politician,1893,50
568,Netherlands,politician,1893,50
569,United States,politician,1849,64
570,Mexico,artist,1918,76
571,Spain,architect,1866,67
572,Netherlands,artist,1888,66
573,Ireland,cardiologist,1922,83
574,United Kingdom,artist,1897,48
575,Turkey,artist,1935,78
576,United Kingdom,artist,1892,80
577,Turkey,politician,1942,31
578,Italy,student,1991,15
579,United Kingdom,artist,1949,59
580,United States,artist,1932,52
581,Canada,athlete,1895,55
582,United States,amateur wrestler,1977,27
583,Australia,politician,1920,81
584,United Kingdom,teacher,1919,69
585,Japan,judoka,1961,54
586,Colombia,religious figure,1935,73
587,Germany,military personnel,1882,62
588,Poland,politician,1961,49
589,United States,artist,1949,67
590,United States,artist,1907,67
591,France,artist,1765,47
592,Poland,military personnel,1881,48
593,United States,researcher,1936,77
594,United Kingdom,criminal,1933,20
595,United States,artist,1927,85
596,Poland,military personnel,1892,49
597,United States,engineer,1929,64
598,Azerbaijan,artist,1945,73
599,United States,athlete,1865,29
600,United Kingdom,athlete,1962,47
601,United States,researcher,1939,78
602,Poland,artist,1978,22
603,Spain,athlete,1942,36
604,United States,artist,1932,43
605,United States,biographer,1916,79
606,United States,artist,1943,61
607,Hungary,politician,1866,63
608,United States,mechanic,1939,63
608,United States,serial killer,1939,63
609,Canada,politician,1927,82
610,Tajikistan,politician,1937,80
611,United States,artist,1919,89
612,New Zealand,artist,1906,33
613,United States,artist,1940,74
614,New Zealand,athlete,1939,73
615,Portugal,military personnel,1944,48
616,China,politician,1908,61
617,Sweden,religious figure,1254,37
618,Finland,religious figure,1892,51
619,United Kingdom,athlete,1915,75
620,United States,athlete,1932,70
621,China,researcher,1904,51
622,United States,artist,1945,52
623,United Kingdom,artist,1913,83
624,France,motorcycle racer,1937,78
624,France,racing automobile driver,1937,78
624,France,formula one driver,1937,78
625,United Kingdom,artist,1885,45
626,United States,artist,1936,81
627,China,artist,1928,89
628,United States,politician,1918,97
629,United States,religious figure,1894,74
630,United Kingdom,artist,1953,49
631,United Kingdom,artist,1935,73
632,Greece,athlete,1924,86
633,India,artist,1958,59
634,Colombia,athlete,1969,33
635,France,film producer,1957,39
636,United States,artist,1926,73
637,United Kingdom,artist,1839,69
638,United States,athlete,1883,23
639,United States,choreographer,1916,88
639,United States,dancer,1916,88
640,Japan,artist,1921,88
641,United States,artist,1924,82
642,United Kingdom,artist,1906,70
643,United States,park ranger,1912,71
644,Hungary,religious figure,1892,83
645,United States,artist,1964,52
646,France,monarch,1403,31
647,Germany,artist,1946,67
648,Brazil,artist,1930,41
649,Japan,politician,1880,66
650,Russian Federation,artist,1963,38
651,United States,artist,1903,51
652,United States,politician,1921,50
653,Norway,athlete,1962,53
654,Austria,military personnel,1900,42
655,Austria,military personnel,1900,42
656,United States,artist,1881,48
657,Australia,artist,1881,48
658,Cuba,artist,1931,41
659,Turkey,artist,1917,80
660,Denmark,designer,1896,24
661,Namibia,politician,1952,37
662,Japan,military personnel,1897,73
663,United States,artist,1931,36
664,United States,artist,1943,34
665,Philippines,artist,1947,66
666,United Kingdom,artist,1910,69
667,Canada,military personnel,1916,73
668,Australia,politician,1851,65
669,India,researcher,1929,76
670,China,politician,279,27
671,China,politician,279,27
672,Australia,politician,1890,49
673,United Kingdom,record producer,1990,29
673,United Kingdom,rapper,1990,29
674,United States,artist,1894,49
675,United States,artist,1917,72
676,United Kingdom,entertainer,1934,71
677,United States,artist,1925,79
678,United Kingdom,artist,1947,34
679,Togo,politician,1935,70
680,France,politician,1935,70
681,France,balloonist,1778,41
682,France,artist,1942,29
683,United Kingdom,artist,1917,90
684,United States,journalist,1941,63
685,Australia,skateboarder,1986,21
686,United States,academic,1916,83
687,Spain,politician,1755,69
688,France,politician,1755,69
689,France,preacher,1701,27
690,France,psychiatrist,1933,75
691,Japan,researcher,1889,71
692,United States,cook,1869,69
693,Ireland,cook,1869,69
694,United States,artist,1889,57
695,United States,artist,1937,62
696,United States,journalist,1926,83
697,United States,politician,1807,66
698,South Africa,politician,1958,26
699,United States,artist,1943,28
700,Canada,activist,1950,44
701,United States,artist,1911,97
702,Greece,artist,1911,97
703,France,artist,1911,97
704,Brazil,athlete,1995,24
705,Portugal,athlete,1940,26
706,Germany,artist,1923,63
707,United States,artist,1932,52
708,Indonesia,politician,1927,81
709,United States,politician,1906,81
710,Ecuador,politician,1906,81
711,Sweden,artist,1903,28
712,New Zealand,athlete,1939,79
713,New Zealand,teacher,1929,54
714,Brazil,pupil,1950,18
715,United States,trade unionist,1908,73
716,United States,politician,1915,86
717,Belgium,athlete,1964,24
718,Canada,artist,1978,37
719,United States,artist,1919,86
720,United States,mountaineer,1807,53
720,United States,explorer,1807,53
721,United States,businessperson,1872,66
722,France,artist,1927,80
723,Slovenia,artist,1950,58
724,Mexico,artist,1911,42
725,United States,artist,1916,75
726,United States,artist,1933,63
727,Germany,artist,1600,36
728,United States,artist,1941,43
729,United States,preacher,1871,51
730,United States,politician,1908,68
731,United States,politician,1785,64
732,Canada,artist,1922,82
733,United States,artist,1943,56
734,Canada,athlete,1883,77
735,France,fencer,1886,48
736,Spain,politician,1934,62
737,Canada,athlete,1928,82
738,United States,artist,1968,36
739,France,military personnel,1860,60
740,United States,artist,1943,49
741,New Zealand,artist,1912,39
742,Ireland,politician,1956,56
743,United States,artist,1904,52
744,Finland,artist,1950,35
745,United States,politician,1885,39
746,United States,politician,1929,85
747,United States,athlete,1951,52
748,United States,military personnel,1921,89
749,Italy,artist,1891,73
750,Netherlands,politician,1898,85
751,United Kingdom,athlete,1882,34
752,France,playwright,1802,68
752,France,author,1802,68
752,France,novelist,1802,68
753,United Kingdom,athlete,1946,63
754,United Kingdom,artist,1934,72
755,United States,politician,1924,72
756,United States,artist,1927,66
757,United States,teacher,1912,49
758,United States,athlete,1949,61
759,Germany,racing driver,1927,54
759,Germany,racing automobile driver,1927,54
760,United Kingdom,artist,1962,42
761,Argentina,athlete,1935,70
762,United States,artist,1951,53
763,United States,politician,1936,73
764,Netherlands,researcher,1879,31
765,United States,athlete,1923,90
766,Canada,politician,1808,30
767,Canada,artist,1943,73
768,France,artist,1962,41
769,United States,artist,1980,35
770,United States,artist,1948,64
771,Canada,choreographer,1966,47
771,Canada,creator,1966,47
771,Canada,dancer,1966,47
772,United States,artist,1937,77
773,Germany,aristocrat,1819,30
774,United States,serial killer,1938,47
775,Chile,artist,1955,48
776,United Kingdom,artist,1930,84
777,United States,artist,1903,89
778,Hungary,artist,1897,56
779,Finland,athlete,1957,52
780,Japan,artist,1965,31
781,Belarus,journalist,1972,28
782,United Kingdom,journalist,1949,61
783,United Kingdom,military personnel,1874,48
784,Ireland,military personnel,1874,48
785,United States,artist,1943,74
786,Turkey,artist,1911,64
787,United States,athlete,1944,74
788,United States,artist,1923,86
789,United States,artist,1921,94
790,United States,artist,1912,68
791,United States,researcher,1902,93
792,Belgium,artist,1924,73
793,Germany,artist,1840,33
794,Hungary,monk,1914,39
795,United States,athlete,1987,25
796,United States,athlete,1891,29
797,Germany,teacher,1889,53
798,United States,artist,1880,69
799,Spain,artist,1897,45
800,Australia,businessperson,1816,62
801,Portugal,athlete,1947,56
802,Ukraine,artist,1932,67
803,Italy,athlete,1924,25
804,South Africa,athlete,1875,29
805,"Korea, Democratic People's",politician,1936,82
807,Greece,military personnel,1881,60
808,United States,researcher,1906,89
809,Poland,artist,1870,68
810,United States,businessperson,1939,66
811,Canada,publisher,1954,54
812,United States,fashion designer,1923,51
813,United States,artist,1946,69
814,Argentina,athlete,1977,26
815,United Kingdom,serial killer,1941,54
816,United States,architect,1909,76
817,United States,novelist,1879,54
818,United Kingdom,artist,1926,84
819,United States,politician,1923,94
820,"Iran, Islamic Republic of",politician,1923,46
821,United States,artist,1937,77
822,United States,politician,1915,74
823,United States,athlete,1930,80
824,Peru,politician,1948,61
825,United States,artist,1942,51
826,Japan,politician,1824,45
827,Israel,politician,1929,44
828,United States,athlete,1946,66
829,Australia,politician,1832,87
830,United Kingdom,television presenter,1918,71
830,United Kingdom,puppeteer,1918,71
830,United Kingdom,magician,1918,71
831,Austria,artist,1872,53
832,United States,artist,1955,58
833,Argentina,politician,1908,97
834,Albania,politician,1887,67
835,Sweden,artist,1927,83
836,Romania,politician,1915,42
837,United States,artist,1944,45
838,United Kingdom,athlete,1695,41
839,United Kingdom,artist,1957,36
840,India,artist,1969,50
841,Spain,artist,1922,83
842,Norway,radio operator,1918,46
842,Norway,resistance fighter,1918,46
842,Norway,spy,1918,46
842,Norway,explorer,1918,46
843,United Kingdom,politician,1897,48
844,Singapore,politician,1910,96
845,Malaysia,politician,1910,96
846,United States,politician,1851,39
847,Italy,artist,1967,29
848,Germany,artist,1955,63
849,Switzerland,military personnel,1670,53
850,United Kingdom,politician,1921,79
851,Switzerland,rower,1932,32
852,United States,politician,1824,66
853,Germany,teacher,1965,53
854,Mexico,announcer,1916,97
855,United States,artist,1946,57
856,Canada,politician,1803,36
857,Mexico,military personnel,1820,47
858,United Kingdom,athlete,1957,61
859,United States,athlete,1944,73
860,France,politician,1805,42
861,United States,artist,1951,65
862,United States,teacher,1873,66
863,United States,artist,1901,68
864,United States,psychologist,1949,67
864,United States,statistician,1949,67
865,United States,journalist,1943,71
866,United States,artist,1927,81
867,United States,artist,1923,63
868,Spain,politician,1853,72
869,United States,politician,1927,83
870,United States,judge,1932,76
871,Hungary,journalist,1938,75
872,Australia,politician,1876,52
873,South Africa,politician,1959,43
874,Japan,announcer,1961,27
875,France,athlete,1922,27
876,Germany,artist,1853,65
877,United Kingdom,businessperson,1925,60
878,Switzerland,artist,1962,40
879,Romania,artist,1962,40
880,Greece,artist,1934,70
881,Poland,military personnel,1951,59
882,United States,explorer,1812,41
883,United Kingdom,artist,1925,33
884,United States,artist,1910,80
885,France,artist,1946,65
886,Brazil,artist,1946,65
887,Austria,politician,1903,34
888,United States,engineer,1910,90
889,Hungary,artist,1896,26
890,United States,combat medic,1938,64
891,United States,politician,1930,77
892,Madagascar,politician,1931,44
893,United States,athlete,1929,77
894,Estonia,artist,1883,90
895,United States,researcher,1935,76
896,United States,artist,1890,76
897,United Kingdom,physician,1958,41
898,United Kingdom,artist,1951,64
899,France,presbyter,1895,62
900,Netherlands,politician,1936,71
901,United States,military personnel,1897,57
902,United Kingdom,politician,1929,77
903,United States,artist,1908,95
904,Poland,motorcycle racer,1983,23
